최준차,77,68,77,91
류사차,83,96,78,85
김화나,75,99,93,89
박가라,65,74,93,99
적다사,65,91,92,81
이윤가,67,86,74,92
정준진,88,69,96,73
최다바,100,69,67,65
김길재,90,80,72,96
고라석,97,78,71,96
적파가,70,75,100,81
강진바,76,79,76,98
고섭길,85,99,78,94
최타아,70,95,88,73
유타길,80,91,71,91
강타석,66,79,85,70
오진가,73,80,83,70
구나나,87,79,94,89
손형길,91,88,97,84
송준길,83,90,100,70
손라가,92,96,71,78
오아바,89,92,94,90
박바섭,97,72,79,100
류하석,87,77,91,65
송형준,71,70,100,78
박차진,71,80,78,87
송라타,76,68,86,71
김라진,71,77,69,72
최진차,88,67,72,98
정가진,66,84,90,75
고나형,71,70,83,91
최화진,99,65,97,68
송가아,71,66,88,91
박진차,72,91,77,71
강사아,92,98,74,95
고타재,97,97,66,80
정석파,80,83,79,92
손자나,71,75,76,100
적형나,73,80,84,95
류화파,100,65,85,86
박다마,87,85,80,89
최섭하,67,83,92,91
유아다,78,82,67,97
적다사,68,87,98,76
고타재,82,97,81,99
유진윤,88,92,90,78
김가나,95,80,67,80
김바나,90,97,79,69
강화형,83,98,96,95
곽진사,78,96,79,66
구화파,100,80,69,70
박진가,74,73,97,99
구형하,67,94,82,91
박파윤,88,93,92,68
송가진,77,86,82,82
오윤파,79,78,74,86
정화라,95,89,65,88
구윤사,85,90,73,74
손화재,68,99,67,85
정바다,86,99,83,78
유차사,81,95,67,75
오아마,95,80,80,76
류진타,97,97,96,83
송자화,90,76,73,84
정가가,96,98,79,98
곽화나,77,83,91,80
김화형,87,82,89,74
정가바,100,80,98,76
강준가,94,89,86,73
송마준,74,82,77,72
유아윤,91,81,96,79
적석타,85,98,89,76
최재파,71,71,65,90
손마자,91,85,98,67
류아카,92,69,81,97
송자윤,89,98,67,73
곽마하,90,78,83,83
최섭자,81,70,87,76
오파석,67,80,67,69
구다형,76,76,77,98
구재재,65,66,93,95
구길차,90,100,88,78
류진타,90,78,89,82
오재카,78,78,81,96
곽윤진,78,95,81,82
구마카,79,99,79,94
김마차,70,76,67,89
김타나,82,95,69,97
고화윤,70,65,77,74
손다하,65,95,72,91
강윤형,75,76,72,68
오타자,89,100,70,91
구바다,75,90,66,65
송준파,67,99,75,71
오화바,89,72,79,70
김윤카,93,90,89,82
오나섭,91,80,86,97
정타나,87,98,73,98
김라자,73,99,85,99
고차차,88,90,72,97
